#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 259884:4532 | 10/24/15 16:31:12 | 85   | 85   | 7048788.611    | 6654009.648   |
| 259890:4532 | 10/24/15 17:20:01 | 109  | 109  | 9480722.013    | 9108376.408   |
| 259891:4532 | 10/24/15 18:06:49 | 109  | 109  | 9298242.771    | 8929706.032   |
| 260373:4555 | 10/30/15 10:17:27 | 373  | 373  | 10664320.031   | 10388118.001  |
| 260424:4557 | 10/30/15 18:40:06 | 670  | 670  | 65695928.730   | 63466599.836  |
| 260425:4557 | 10/30/15 23:06:36 | 287  | 287  | 26211378.434   | 25411933.710  |
| 260426:4557 | 10/31/15 01:02:23 | 480  | 480  | 41275827.179   | 40195140.176  |
| 260427:4557 | 10/31/15 04:25:46 | 283  | 283  | 22426559.988   | 21788776.898  |
| 260431:4557 | 10/31/15 06:31:22 | 421  | 421  | 32219324.740   | 31346811.973  |
| 260433:4557 | 10/31/15 09:41:45 | 121  | 121  | 9077733.497    | 8703538.648   |
| 260439:4557 | 10/31/15 10:36:01 | 8    | 8    | 585610.914     | 555215.771    |
| 260510:4560 | 11/01/15 00:58:31 | 236  | 236  | 22444413.406   | 22221755.857  |
| 260527:4560 | 11/01/15 02:35:26 | 134  | 134  | 12379887.254   | 12214070.923  |
| 260528:4560 | 11/01/15 04:10:17 | 25   | 25   | 2289826.890    | 2231312.433   |
| 260532:4560 | 11/01/15 04:25:51 | 675  | 675  | 57326408.862   | 55669805.474  |
| 260533:4560 | 11/01/15 09:24:23 | 14   | 14   | 1127261.606    | 1059991.553   |
| 260534:4560 | 11/01/15 09:34:18 | 375  | 375  | 29275346.591   | 28416797.584  |
| 260536:4560 | 11/01/15 12:08:44 | 193  | 193  | 14724238.378   | 14277313.608  |
| 260538:4560 | 11/01/15 13:29:58 | 284  | 284  | 20907257.457   | 20326040.651  |
| 260540:4560 | 11/01/15 15:24:09 | 1    | 1    | 72221.281      | 49068.948     |
| 260541:4560 | 11/01/15 15:25:55 | 25   | 25   | 1801690.731    | 1733778.034   |
| 260575:4562 | 11/01/15 21:37:56 | 20   | 20   | 1891463.139    | 1681737.625   |
| 260576:4562 | 11/01/15 21:49:30 | 464  | 464  | 50998009.328   | 47949436.479  |
| 260577:4562 | 11/02/15 00:53:22 | 77   | 77   | 8290469.390    | 7961825.167   |
| 260593:4565 | 11/02/15 08:41:38 | 319  | 319  | 33451374.201   | 31625205.349  |
| 260627:4569 | 11/02/15 19:05:30 | 1752 | 1752 | 172590423.191  | 165788223.566 |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 27    | 91   | 24295 | 24295 | 1804173204.020    | 1745853259.738   |
+-------+------+-------+-------+-------------------+------------------+

Warning: problems found in merging -i and --normtag selections:
  run 258159, [[1, 502]] is not a superset of [[1, 514]]

